episode_length,episode_return,episodes,mean_return,steps,steps_per_second,total_time_elapsed
4836,3865.813817024231,1,0.7993825097237864,4836,21.26979248835998,276.2521221637726
1093,880.2614903450012,2,0.8053627542040267,5929,21.550067950974064,363.6088435649872
809,658.0349273681641,3,0.813392988094146,6738,22.248439482864836,437.9179334640503
801,644.2166396379471,4,0.8042654677127928,7539,22.605138618967942,513.2412168979645
514,387.5648205280304,5,0.7540171605603704,8053,21.214549587637933,575.7340428829193
1665,1334.418487906456,6,0.8014525452891628,9718,19.48342187410025,703.694295167923
1540,1230.3906272649765,7,0.7989549527694653,11258,20.014533651128566,820.5325498580933
957,746.7248849868774,8,0.7802767868201436,12215,21.41009608646947,904.2269606590271
6568,5123.676495790482,9,0.7800969086160904,18783,20.79146454006008,1259.8847465515137
1088,812.6406548023224,10,0.7469123665462521,19871,20.86682759699708,1354.187262058258
